State	Confirmed	Recovered	Deaths	Active	State_code	Delta_Confirmed	Delta_Recovered	Delta_Deaths
Total	5351	455	157	4739	TT	573	61	23
Maharashtra	1018	70	60	888	MH	150	0	8
Tamil Nadu	690	19	7	664	TN	69	6	1
Delhi	576	16	9	551	DL	51	0	2
Telangana	404	45	11	348	TG	40	0	0
Rajasthan	343	25	2	316	RJ	42	0	0
Kerala	336	71	2	263	KL	9	12	0
Uttar Pradesh	332	21	3	308	UP	27	0	0
Andhra Pradesh	314	5	3	306	AP	11	0	0
Madhya Pradesh	290	21	21	248	MP	34	10	6
Karnataka	175	25	4	146	KA	12	5	0
Gujarat	175	25	14	136	GJ	29	3	2
Haryana	143	31	2	110	HR	33	2	0
Jammu and Kashmir	125	4	4	117	JK	16	0	2
Punjab	99	14	8	77	PB	20	10	1
West Bengal	91	13	3	75	WB	11	3	0
Odisha	42	2	1	39	OR	2	0	1
Bihar	38	15	1	22	BR	6	6	0
Uttarakhand	31	4	0	27	UT	0	0	0
Assam	28	0	0	28	AS	2	0	0
Chandigarh	18	7	0	11	CH	0	2	0
Himachal Pradesh	27	1	2	24	HP	9	0	0
Ladakh	14	10	0	4	LA	0	0	0
Andaman and Nicobar Islands	10	0	0	10	AN	0	0	0
Chhattisgarh	10	9	0	1	CT	0	1	0
Goa	7	0	0	7	GA	0	0	0
Puducherry	5	1	0	4	PY	0	1	0
Jharkhand	4	0	0	4	JH	0	0	0
Manipur	2	1	0	1	MN	0	0	0
Mizoram	1	0	0	1	MZ	0	0	0
Arunachal Pradesh	1	0	0	1	AR	0	0	0
Dadra and Nagar Haveli	1	0	0	1	DN	0	0	0
Tripura	1	0	0	1	TR	0	0	0
Daman and Diu	0	0	0	0	DD	0	0	0
Lakshadweep	0	0	0	0	LD	0	0	0
Meghalaya	0	0	0	0	ML	0	0	0
Nagaland	0	0	0	0	NL	0	0	0
Sikkim	0	0	0	0	SK	0	0	0
